# ex: set ff=dos ts=2 et:
# $Id$
#
# A hierarchy of all operating system families and versions
# that we attempt to identify.
#
# We store parent/child relationships so we can generate
# tree-like visualizations, which are useful in double-checking
# our data and also because it's fun for computer nerds like us.
#
# References:
#   #1 Levenz, Eric "Open Systems" Jan 12, 2009
#      <URL: http://www.levenez.com/unix/unix.pdf>
#   #2 [web page] <URL: http://en.wikipedia.org/wiki/Research_UNIX#Versions>
#   #3 [web page] <URL: http://en.wikipedia.org/wiki/SunOS>
#   #4 [web page] <URL: http://en.wikipedia.org/wiki/Solaris_(operating_system)>
#   #5 [web page] <URL: http://en.wikipedia.org/wiki/Linux_kernel#Version_numbering>
#   #6 [web page] <URL: http://en.wikipedia.org/wiki/MacOS#Graphical_timeline>
#   #7 "The History of the NetBSD Project" [web page] http://netbsd.org/about/history.html [Accessed Dec 29 2008]
#   #8 "System V" <URL: http://en.wikipedia.org/wiki/System_V>
#   #9 "A Brief History of FreeBSD" <URL: http://www.freebsd.org/doc/en/books/handbook/history.html> [Accessed Jan 13 2009]
#   #10 "Release Information" <URL: http://www.freebsd.org/releases/>
#   #11 "Changes made between birth and OpenBSD 2.0." <URL: http://www.openbsd.org/plus20.html>
#   #12 "DOS Origins" <URL: http://en.wikipedia.org/wiki/DOS#Origins>
#   #13 "Index of /pub/linux/kernel" [web page] <URL: http://www.kernel.org/pub/linux/kernel/> [Accessed Jan 17 2009]
#   #14 "NetBSD Formal Releases" [web page] <URL: http://www.netbsd.org/releases/formal.html> [Accessed Jan 17 2009]
#   #15 "IRIX" [web page] <URL: http://en.wikipedia.org/wiki/IRIX> [Accessed Jan 17 2009]

#Id,Parent,ParentId,Comment

# the empty but necessary mother of all operating systems
,Unknown,,
OpenBSD2.7,OpenBSD 2.7,OpenBSD2.6,
OpenBSD2.8,OpenBSD 2.8,OpenBSD2.7,
OpenBSD2.9,OpenBSD 2.9,OpenBSD2.8,
OpenBSD3.x,OpenBSD 3.x,OpenBSD2.9,
OpenBSD3.0,OpenBSD 3.0,OpenBSD3.x,
OpenBSD3.1,OpenBSD 3.1,OpenBSD3.0,
OpenBSD3.2,OpenBSD 3.2,OpenBSD3.1,
OpenBSD3.3,OpenBSD 3.3,OpenBSD3.2,
OpenBSD3.4,OpenBSD 3.4,OpenBSD3.3,
OpenBSD3.5,OpenBSD 3.5,OpenBSD3.4,
OpenBSD3.6,OpenBSD 3.6,OpenBSD3.5,
OpenBSD3.7,OpenBSD 3.7,OpenBSD3.6,
OpenBSD3.8,OpenBSD 3.8,OpenBSD3.7,
OpenBSD3.9,OpenBSD 3.9,OpenBSD3.8,
OpenBSD4.x,OpenBSD 4.x,OpenBSD3.9,
OpenBSD4.0,OpenBSD 4.0,OpenBSD4.x,
OpenBSD4.1,OpenBSD 4.1,OpenBSD4.0,
OpenBSD4.2,OpenBSD 4.2,OpenBSD4.1,
OpenBSD4.3,OpenBSD 4.3,OpenBSD4.2,
OpenBSD4.4,OpenBSD 4.4,OpenBSD4.3,
OpenBSD4.5,OpenBSD 4.5,OpenBSD4.4,

# Andrew Tenanbaum's microkernel OS
MINIX,MINIX,,
MINIX1,MINIX 1,MINIX,
MINIX1.5,MINIX 1.5,MINIX1,
MINIX2,MINIX 2,MINIX1.5,
MINIX3,MINIX 3,MINIX2,

# Linux
# @ref #5
# @ref #13
Linux,Linux,,
Linux0.x,Linux 0.x,Linux,
Linux1.x,Linux 1.x,Linux0.x,
Linux1.0,Linux 1.0,Linux1.x,
Linux1.1,Linux 1.0,Linux1.0,
Linux1.2,Linux 1.0,Linux1.1,
Linux1.2.x,Linux 1.2.x,Linux1.2,
Linux1.3,Linux 1.3,Linux1.2,
Linux2.x,Linux 2.x,Linux1.3,
Linux2.0,Linux 2.0,Linux2.x,
Linux2.0.3x,Linux 2.0.3x,Linux2.0,
Linux2.1,Linux 2.1,Linux2.0,
Linux2.2,Linux 2.2,Linux2.1,
Linux2.3,Linux 2.3,Linux2.2,
Linux2.4,Linux 2.4,Linux2.3,
Linux2.5,Linux 2.5,Linux2.4,
Linux2.6,Linux 2.6,Linux2.5,
Linux2.6.7,Linux 2.6.7,Linux2.6,
Linux2.6.8,Linux 2.6.8,Linux2.6.7,
Linux2.6.9+,Linux 2.6.9+,Linux2.6.8,

# Apple's OS (@ref #6)
MacOS,MacOS,,
MacOS1,MacOS 1.x,MacOS,
MacOS2,MacOS 2.x,MacOS1,
MacOS3,MacOS 3.x,MacOS2,
MacOS4,MacOS 4.x,MacOS3,
MacOS5,MacOS 5.x,MacOS4,
MacOS6,MacOS 6.x,MacOS5,
MacOS7,MacOS 7.x,MacOS6,
MacOS7.0,MacOS 7.0,MacOS7,
MacOS7.1,MacOS 7.1,MacOS7.0,
MacOS7.2,MacOS 7.2,MacOS7.1,
MacOS7.3,MacOS 7.3,MacOS7.2,
MacOS7.4,MacOS 7.4,MacOS7.3,
MacOS7.5,MacOS 7.5,MacOS7.4,
MacOS7.6,MacOS 7.6,MacOS7.5,
MacOS8,MacOS 8.x,MacOS7,
MacOS8.0,MacOS 8.0,MacOS8,
MacOS8.1,MacOS 8.1,MacOS8.0,
MacOS8.2,MacOS 8.2,MacOS8.1,
MacOS8.3,MacOS 8.3,MacOS8.2,
MacOS8.4,MacOS 8.4,MacOS8.3,
MacOS8.5,MacOS 8.5,MacOS8.4,
MacOS8.6,MacOS 8.6,MacOS8.5,
MacOS9,MacOS 9.x,MacOS8,
MacOS9.0,MacOS 9.0,MacOS9,
MacOS9.1,MacOS 9.1,MacOS9.0,
MacOS9.2,MacOS 9.2,MacOS9.1,
MacOS9.2.2,MacOS 9.2.2,MacOS9.2,

# Apple's Mach-based/BSD-app sexy OS
MacOSX,MacOS X,Mach3,
MacOSX10,MacOS X 10 (Cheetah),MacOSX,
MacOSX10.1,MacOS X 10.1 (Puma),MacOSX10,
MacOSX10.2,MacOS X 10.2 (Jaguar),MacOSX10.1,
MacOSX10.3,MacOS X 10.3 (Panther),MacOSX10.2,
MacOSX10.4,MacOS X 10.4 (Tiger),MacOSX10.3,
MacOSX10.5,MacOS X 10.5 (Leopard),MacOSX10.4,

# @ref #1
OpenVMS,OpenVMS,,
OpenVMS7.2,OpenVMS 7.2,OpenVMS,

RiscOS,RiscOS,,
RiscOS1,RiscOS 1.x,RiscOS,
RiscOS2,RiscOS 2.x,RiscOS1,
RiscOS3,RiscOS 3.x,RiscOS2,
RiscOS4,RiscOS 4.x,RiscOS3,
RiscOS5,RiscOS 5.x,RiscOS4,

# Now for the sordid history of Windows...
# @ref #12
CP/M,CP/M,,
CP/M80,CP/M 80,CP/M,
QDOS,QDOS,CP/M80,
86DOS,DOS 86,CP/M80,

MS-DOS,MS-DOS,QDOS,
MS-DOS1.1,MS-DOS 1.1,MS-DOS,
MS-DOS2,MS-DOS 2,MS-DOS1.1,
MS-DOS3,MS-DOS 3,MS-DOS2,
MS-DOS4,MS-DOS 3,MS-DOS3,
MS-DOS5,MS-DOS 3,MS-DOS4,
MS-DOS6,MS-DOS 3,MS-DOS5,
MS-DOS6.22,MS-DOS 3,MS-DOS6,
MS-DOS7,MS-DOS 3,MS-DOS6.22,"Windows 95A"
MS-DOS7.1,MS-DOS 3,MS-DOS7,
MS-DOS8,MS-DOS 3,MS-DOS7.1,"Windows Me"

# References:
#   1 "OS/2 History Timeline"
#     <URL: http://pages.prodigy.net/michaln/history/timeline.html>
#   2 "OS/2" <URL: http://en.wikipedia.org/wiki/OS/2>
OS/2,             OS/2,                     86DOS,
OS/2-1.0,         OS/2 1.0,                 OS/2,
OS/2-1.1,         OS/2 1.1,                 OS/2-1.0,
OS/2-1.1ee,       OS/2 1.1 Extended Edition,OS/2-1.1,
OS/2-1.2,         OS/2 1.2,                 OS/2-1.1,
OS/2-1.2ee,       OS/2 1.2 Extended Edition,OS/2-1.2,"Introduced TCP/IP and Ethernet support (@ref #2)"
OS/2-1.3,         OS/2 1.3,                 OS/2-1.2,
OS/2-2.0,         OS/2 2.0,                 OS/2-1.3,
